City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
200,opuwo,-18.0607,13.84,64.15,38,16,5.66,NA,1691614501
201,chibougamau,49.9168,-74.3659,73.02,49,75,3.44,CA,1691614645
202,santa terezinha,-29.9002,-50.0904,61.3,96,100,19.44,BR,1691614547
203,tura,25.5198,90.2201,74.3,98,100,2.3,IN,1691614645
204,choyr,46.3611,108.3611,67.44,51,98,10.49,MN,1691614645
205,diamantino,-14.4086,-56.4461,96.03,18,3,4.0,BR,1691614645
206,hastings,50.8552,0.5729,64.8,42,2,4.29,GB,1691614645
207,port hedland,-20.3167,118.5667,60.85,41,2,9.22,AU,1691614606
208,yeppoon,-23.1333,150.7333,53.38,88,0,10.07,AU,1691614646
209,laguna,38.421,-121.4238,92.32,41,0,3.0,US,1691614588
210,tazovsky,67.4667,78.7,46.26,86,80,18.72,RU,1691614646
211,changwon,35.2281,128.6811,80.31,97,100,23.06,KR,1691614646
212,vetovo,43.7,26.2667,62.51,70,72,7.99,BG,1691614647
213,alice springs,-23.7,133.8833,44.15,70,0,3.44,AU,1691614647
214,altai,46.3722,96.2583,57.42,53,0,5.84,MN,1691614647
215,dalianwan,39.0286,121.695,77.04,73,0,6.71,CN,1691614647
216,beitbridge,-22.2167,30.0,66.85,43,67,13.47,ZW,1691614647
217,remire-montjoly,4.9167,-52.2667,86.04,70,0,12.66,GF,1691614648
218,shajiang,26.7825,119.9669,79.02,91,8,3.62,CN,1691614648
219,upington,-28.4478,21.2561,59.38,20,0,8.05,ZA,1691614648
220,sinabang,2.4803,96.3801,77.09,91,100,10.67,ID,1691614648
221,malpe,13.35,74.7167,79.9,90,85,2.75,IN,1691614649
222,la passe,45.5549,-0.8967,79.03,49,1,13.04,FR,1691614649
223,nikolayevsk-on-amure,53.1406,140.73,56.77,85,69,2.44,RU,1691614649
224,haiku-pauwela,20.9219,-156.3051,81.25,62,40,18.41,US,1691614649
225,anadyr,64.75,177.4833,50.5,81,75,8.01,RU,1691614650
226,camana,-16.6228,-72.7111,65.32,79,63,6.02,PE,1691614650
227,fale old settlement,-9.3852,-171.2468,83.14,78,30,15.01,TK,1691614651
228,at taj,24.2049,23.2857,93.36,24,68,15.68,LY,1691614651
229,marsh harbour,26.5412,-77.0636,86.34,69,78,1.54,BS,1691614651
230,magadan,59.5667,150.8,47.53,65,57,8.05,RU,1691614651
231,cidreira,-30.1811,-50.2056,61.27,95,100,21.41,BR,1691614652
232,ola,59.5833,151.2833,48.15,62,7,9.28,RU,1691614513
233,antonio enes,-16.2325,39.9086,71.4,77,49,9.6,MZ,1691614652
234,praia da vitoria,38.7333,-27.0667,79.05,78,20,7.56,PT,1691614652
235,awjilah,29.1081,21.2869,80.47,49,0,15.73,LY,1691614653
236,khamis mushait,18.3064,42.7292,75.81,53,0,0.0,SA,1691614653
237,ballina,-28.8667,153.5667,48.78,85,7,5.73,AU,1691614654
238,bentiu,9.2333,29.8333,75.0,85,100,1.99,SS,1691614654
239,nuuk,64.1835,-51.7216,41.88,86,100,17.0,GL,1691614655
240,keflavik,64.0049,-22.5624,60.71,62,0,12.66,IS,1691614655
241,charleston,32.7766,-79.9309,91.58,65,40,10.36,US,1691614385
242,saltillo,25.4167,-101.0,89.15,31,0,11.5,MX,1691614444
243,masterton,-40.9597,175.6575,40.89,98,100,3.76,NZ,1691614655
244,zaozersk,69.4005,32.4476,64.22,78,0,2.26,RU,1691614655
245,aykhal,66.0,111.5,58.84,61,90,5.5,RU,1691614524
246,rio grande,-32.035,-52.0986,62.71,93,100,25.52,BR,1691614380
247,el jadid,33.2549,-8.506,72.63,91,1,11.65,MA,1691614656
248,ciudad insurgentes,25.2625,-111.7753,97.66,33,0,16.55,MX,1691614656
249,touros,-5.1989,-35.4608,77.0,80,41,16.93,BR,1691614657
250,mount gambier,-37.8333,140.7667,49.87,76,100,10.65,AU,1691614658
251,queenstown,-31.8976,26.8753,49.51,92,15,4.14,ZA,1691614518
252,oranjemund,-28.55,16.4333,67.71,40,3,7.02,NA,1691614659
253,la charite-sur-loire,47.1833,3.0167,67.87,86,0,7.25,FR,1691614659
254,howrah,22.5892,88.3103,82.4,89,100,0.0,IN,1691614614
255,crane,31.3974,-102.3501,104.97,14,1,6.78,US,1691614660
256,port moresby,-9.4431,147.1797,74.62,73,40,11.5,PG,1691614661
257,hedemora,60.2797,15.9886,52.9,96,100,4.0,SE,1691614661
258,vetluga,57.8557,45.781,63.12,81,0,5.75,RU,1691614661
259,bandiagara,14.3501,-3.6104,83.48,61,98,6.53,ML,1691614661
260,karratha,-20.7377,116.8463,68.18,53,0,5.48,AU,1691614662
261,rio preto da eva,-2.6994,-59.6997,94.91,35,73,6.26,BR,1691614662
262,saldanha,-33.0117,17.9442,55.45,81,0,9.08,ZA,1691614479
263,balsas,-7.5325,-46.0356,90.12,21,2,5.32,BR,1691614663
264,cabo san lucas,22.8909,-109.9124,92.61,70,100,6.91,MX,1691614398
265,shingu,33.7333,135.9833,79.05,93,76,13.22,JP,1691614539
266,owando,-0.4819,15.8999,74.66,79,67,2.71,CG,1691614663
267,sitia,35.2,26.0986,79.99,65,0,21.52,GR,1691614663
268,tazacorte,28.629,-17.9293,74.37,91,0,14.97,ES,1691614664
269,bereeda,11.8704,51.0579,87.04,56,97,10.07,SO,1691614664
270,kununurra,-15.7667,128.7333,58.98,77,39,2.3,AU,1691614482
271,hamilton,39.1834,-84.5333,82.26,79,75,10.36,US,1691614664
272,nabire,-3.3667,135.4833,74.25,88,63,3.44,ID,1691614495
273,bumba,2.1833,22.4667,71.04,97,100,1.54,CD,1691614664
274,new norfolk,-42.7826,147.0587,55.92,79,100,6.02,AU,1691614665
275,horta,38.5333,-28.6333,76.64,89,20,11.5,PT,1691614665
276,tarrafal de sao nicolau,16.5667,-24.3667,78.42,71,99,17.4,CV,1691614665
277,afaahiti,-17.75,-149.2833,80.47,71,93,13.82,PF,1691614491
278,hammerfest,70.6634,23.6821,73.85,64,0,3.44,NO,1691614665
279,luderitz,-26.6481,15.1594,74.23,44,78,5.21,NA,1691614665
280,buala,-8.145,159.5921,78.91,86,98,7.16,SB,1691614666
281,shalqar,47.8333,59.6,75.92,43,0,14.27,KZ,1691614666
282,sugarcreek,41.4215,-79.8812,82.89,57,20,8.05,US,1691614666
283,cockburn town,21.4612,-71.1419,84.25,84,82,17.34,TC,1691614666
284,gwanda,-20.9333,29.0,51.62,61,4,4.45,ZW,1691614667
285,syas'stroy,60.1367,32.5691,60.1,96,100,4.54,RU,1691614668
286,warrenton,-28.114,24.8475,52.41,35,0,14.2,ZA,1691614668
287,naze,28.3667,129.4833,77.92,89,63,11.7,JP,1691614668
288,alpena,45.0617,-83.4327,86.32,43,0,11.5,US,1691614668
289,sao jose da coroa grande,-8.8978,-35.1478,75.06,75,6,10.29,BR,1691614669
290,san salvador de jujuy,-24.1946,-65.2971,67.53,24,0,5.32,AR,1691614669
291,arno,60.1167,18.6333,58.78,76,100,15.39,SE,1691614669
292,flin flon,54.7682,-101.865,66.04,42,20,6.91,CA,1691614669
293,zhob,31.3411,69.4481,85.06,37,89,2.59,PK,1691614669
294,penzance,50.1186,-5.5371,61.48,92,2,10.25,GB,1691614670
295,tanout,14.9709,8.8879,88.74,44,0,7.43,NE,1691614670
296,eydhafushi,5.1033,73.0708,82.02,79,100,14.2,MV,1691614670
297,kapa'a,22.0752,-159.319,86.32,68,75,19.57,US,1691614670
298,salahonda,2.1019,-78.7217,80.83,81,24,13.09,CO,1691614670
299,aripuana,-9.1667,-60.6333,94.39,31,91,0.65,BR,1691614671
300,fada,9.5667,8.3,68.16,97,66,2.48,NG,1691614538
301,constantia,44.1833,28.65,63.7,64,1,9.51,RO,1691614540
302,flat river,37.8501,-90.5168,75.65,88,100,10.36,US,1691614671
303,imphal,24.8167,93.95,71.13,99,98,1.16,IN,1691614671
304,arys,42.4252,68.795,82.83,31,0,5.59,KZ,1691614672
305,mucumpiz,8.4167,-71.1333,65.39,76,76,3.67,VE,1691614575
306,quellon,-43.1167,-73.6167,52.05,93,75,21.85,CL,1691614513
307,san patricio,28.017,-97.5169,103.17,44,0,21.52,US,1691614672
308,mokhotlong,-29.2894,29.0675,41.38,80,0,3.2,LS,1691614672
309,ta`u,-14.2336,-169.5144,80.78,74,7,9.91,AS,1691614672
310,lerwick,60.1545,-1.1494,51.8,71,95,23.42,GB,1691614583
311,whakatane,-37.9585,176.9854,46.78,98,72,1.01,NZ,1691614673
312,alofi,-19.0595,-169.9187,80.49,83,20,4.61,NU,1691614673
313,bel ombre,-4.6167,55.4167,78.64,78,20,5.75,SC,1691614673
314,imbituba,-28.24,-48.6703,65.86,96,100,12.71,BR,1691614673
315,avarua,-21.2078,-159.775,75.25,69,75,18.41,CK,1691614674
316,iguape,-24.7081,-47.5553,67.17,92,100,14.25,BR,1691614674
317,uyuni,-20.4597,-66.825,50.32,19,0,10.02,BO,1691614674
318,miyako,39.6367,141.9525,77.92,92,13,11.25,JP,1691614674
319,chilaw,7.5758,79.7953,78.82,88,100,14.76,LK,1691614675
320,yaren,-0.5472,166.916,82.44,75,51,6.2,NR,1691614675
321,mount pearl,47.5166,-52.7813,57.96,84,75,13.8,CA,1691614540
322,imperatriz,-5.5264,-47.4917,95.05,41,40,2.3,BR,1691614515
323,shimoda,34.6667,138.95,77.11,86,55,10.83,JP,1691614546
324,tobruk,32.0836,23.9764,79.59,69,0,12.86,LY,1691614676
325,posse,-14.0931,-46.3694,81.37,29,0,7.14,BR,1691614676
326,evinayong,1.4368,10.5512,68.52,94,80,1.63,GQ,1691614676
327,fort bragg,35.139,-79.006,92.93,41,20,10.36,US,1691614676
328,khilok,51.3674,110.4676,62.85,99,100,5.12,RU,1691614676
329,shimo-furano,43.35,142.3833,75.83,97,70,3.47,JP,1691614676
